Semester,Teaching unit,Course,Credits
24-25-S1,MATHEMATIQUES 1,Analyse 1,3.5
24-25-S1,MATHEMATIQUES 1,Algèbre 1,3.5
24-25-S1,MATHEMATIQUES 1,Calcul des probabilités ,2
24-25-S1,STATISTIQUE 1,Statistique descriptive 1,3
24-25-S1,STATISTIQUE 1,Statistique descriptive 2,2
24-25-S1,Economie 1,Histoire de la pensée et des faits économiques,1.5
24-25-S1,Economie 1,Economie descriptive,2.5
24-25-S1,Economie 1,Comptabilité d'entreprise,3
24-25-S1,Informatique 1,Environnement bureautique et TIC,1.5
24-25-S1,Informatique 1,Excel,1.5
24-25-S1,Informatique 1,Algorithmique et programmation 1,2
24-25-S1,Langue et expression 1,Anglais 1,2
24-25-S1,Langue et expression 1,Techniques d’expression 1,2
24-25-S2,MATHEMATIQUES 2,Analyse 2,2
24-25-S2,MATHEMATIQUES 2,Algèbre 2,2
24-25-S2,MATHEMATIQUES 2,Théorie des probabilités 1,3
24-25-S2,STATISTIQUE 2,Analyse descriptive des séries temporelles,2
24-25-S2,STATISTIQUE 2,Projet statistique 1,1
24-25-S2,THEORIE ET PRATIQUE DES ENQUETES 1,Pratique des enquêtes 1,2
24-25-S2,THEORIE ET PRATIQUE DES ENQUETES 1,Pratique des enquêtes 1,3
24-25-S2,Economie 2,Microéconomie ,3
24-25-S2,Economie 2,Macroéconomie ,3
24-25-S2,Economie 2,Comptabilité nationale,3
24-25-S2,Informatique 2,Algorithmique et programmation 2,1.5
24-25-S2,Informatique 2,Excel avancé,1.5
24-25-S2,Langue et expression 2,Techniques d’expression,1.5
24-25-S2,Langue et expression 2,Anglais,1.5
